ID,Name,Sex,Age,Team,Games,Year,Season,City,Sport,Event,Medal,region
67,Mariya Vasilyevna Abakumova (-Tarabina),F,22.0,Russia,2008 Summer,2008,Summer,Beijing,Track & Field,Athletics Women's Javelin Throw,Silver,Russia
67,Mariya Vasilyevna Abakumova (-Tarabina),F,26.0,Russia,2012 Summer,2012,Summer,London,Track & Field,Athletics Women's Javelin Throw,,Russia
449,Inga Eduardovna Abitova,F,26.0,Russia,2008 Summer,2008,Summer,Beijing,Track & Field,"Athletics Women's 10,000 metres",,Russia
826,Lyukman Rasakovich Adams,M,23.0,Russia,2012 Summer,2012,Summer,London,Track & Field,Athletics Men's Triple Jump,,Russia
1069,Nikolay Konstantinovich Afanasyev,M,30.0,Russia,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Men's Decathlon,,Russia
1072,Yelena Aleksandrovna Afanasyeva (Vlasova-),F,30.0,Russia,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Women's 800 metres,,Russia
1475,Aleksis Aide,M,24.0,Russia,1912 Summer,1912,Summer,Stockholm,Track & Field,Athletics Men's 10 kilometres Walk,,Russia
2506,Denis Sergeyevich Alekseyev,M,20.0,Russia,2008 Summer,2008,Summer,Beijing,Track & Field,Athletics Men's 400 metres,,Russia
2506,Denis Sergeyevich Alekseyev,M,20.0,Russia,2008 Summer,2008,Summer,Beijing,Track & Field,Athletics Men's 4 x 400 metres Relay,,Russia
2506,Denis Sergeyevich Alekseyev,M,24.0,Russia,2012 Summer,2012,Summer,London,Track & Field,Athletics Men's 4 x 400 metres Relay,,Russia
2992,Anna Aleksandrovna Alminova,F,23.0,Russia,2008 Summer,2008,Summer,Beijing,Track & Field,"Athletics Women's 1,500 metres",,Russia
3073,Alfrds Karls Alslbens,M,19.0,Russia,1912 Summer,1912,Summer,Stockholm,Track & Field,Athletics Men's Decathlon,,Russia
4169,Georgy Aleksandrovich Andreyev,M,28.0,Russia,2004 Summer,2004,Summer,Athina,Track & Field,Athletics Men's Marathon,,Russia
4169,Georgy Aleksandrovich Andreyev,M,32.0,Russia,2008 Summer,2008,Summer,Beijing,Track & Field,Athletics Men's Marathon,,Russia
4169,Georgy Aleksandrovich Andreyev,M,36.0,Russia,2012 Summer,2012,Summer,London,Track & Field,Athletics Men's Marathon,,Russia
4179,Vladimir Vasilyevich Andreyev,M,34.0,Russia,2000 Summer,2000,Summer,Sydney,Track & Field,Athletics Men's 20 kilometres Walk,Bronze,Russia
4179,Vladimir Vasilyevich Andreyev,M,37.0,Russia,2004 Summer,2004,Summer,Athina,Track & Field,Athletics Men's 20 kilometres Walk,,Russia
4200,Tatyana Valeryevna Andrianova,F,24.0,Russia,2004 Summer,2004,Summer,Athina,Track & Field,Athletics Women's 800 metres,,Russia
4200,Tatyana Valeryevna Andrianova,F,28.0,Russia,2008 Summer,2008,Summer,Beijing,Track & Field,Athletics Women's 800 metres,,Russia
4225,Yury Vladimirovich Andronov,M,32.0,Russia,2004 Summer,2004,Summer,Athina,Track & Field,Athletics Men's 50 kilometres Walk,,Russia
4583,Aleksandra Viktorovna Antonova,F,28.0,Russia,2008 Summer,2008,Summer,Beijing,Track & Field,Athletics Women's 100 metres Hurdles,,Russia
4613,Nataliya Nikolayevna Antyukh,F,23.0,Russia,2004 Summer,2004,Summer,Athina,Track & Field,Athletics Women's 400 metres,Bronze,Russia
4613,Nataliya Nikolayevna Antyukh,F,23.0,Russia,2004 Summer,2004,Summer,Athina,Track & Field,Athletics Women's 4 x 400 metres Relay,Silver,Russia
4613,Nataliya Nikolayevna Antyukh,F,31.0,Russia,2012 Summer,2012,Summer,London,Track & Field,Athletics Women's 400 metres Hurdles,Gold,Russia
4613,Nataliya Nikolayevna Antyukh,F,31.0,Russia,2012 Summer,2012,Summer,London,Track & Field,Athletics Women's 4 x 400 metres Relay,Silver,Russia
5085,Ramil Kamilyevich Aritkulov,M,26.0,Russia,2004 Summer,2004,Summer,Athina,Track & Field,Athletics Men's 800 metres,,Russia
5434,Tatyana Alekseyevna Aryasova (Khmeleva-),F,29.0,Russia,2008 Summer,2008,Summer,Beijing,Track & Field,"Athletics Women's 10,000 metres",,Russia
5445,Yelena Vladimirovna Arzhakova,F,22.0,Russia,2012 Summer,2012,Summer,London,Track & Field,Athletics Women's 800 metres,,Russia
6075,Anna Mikhaylovna Avdeyeva,F,27.0,Russia,2012 Summer,2012,Summer,London,Track & Field,Athletics Women's Shot Put,,Russia
6101,Nikolay Sergeyevich Averyanov,M,24.0,Russia,2004 Summer,2004,Summer,Athina,Track & Field,Athletics Men's Decathlon,,Russia
6399,Ulrich Baasch,M,22.0,Russia,1912 Summer,1912,Summer,Stockholm,Track & Field,Athletics Men's Pole Vault,,Russia
7055,Yekaterina Aleksandrovna Bakhvalova,F,32.0,Russia,2004 Summer,2004,Summer,Athina,Track & Field,Athletics Women's 400 metres Hurdles,,Russia
7107,Sergey Vasilyevich Bakulin,M,25.0,Russia,2012 Summer,2012,Summer,London,Track & Field,Athletics Men's 50 kilometres Walk,,Russia
8745,Herberts Baumanis,M,23.0,Russia,1912 Summer,1912,Summer,Stockholm,Track & Field,Athletics Men's 200 metres,,Russia
9621,Olga Vladimirovna Belkina,F,21.0,Russia,2012 Summer,2012,Summer,London,Track & Field,Athletics Women's 100 metres,,Russia
9621,Olga Vladimirovna Belkina,F,21.0,Russia,2012 Summer,2012,Summer,London,Track & Field,Athletics Women's 4 x 100 metres Relay,,Russia
9826,Yelena Anatolyevna Belyakova,F,24.0,Russia,2000 Summer,2000,Summer,Sydney,Track & Field,Athletics Women's Pole Vault,,Russia
10978,Mariya Aleksandrovna Bespalova,F,26.0,Russia,2012 Summer,2012,Summer,London,Track & Field,Athletics Women's Hammer Throw,,Russia
11462,Yekaterina Eduardovna Bikert,F,24.0,Russia,2004 Summer,2004,Summer,Athina,Track & Field,Athletics Women's 400 metres Hurdles,,Russia
11462,Yekaterina Eduardovna Bikert,F,28.0,Russia,2008 Summer,2008,Summer,Beijing,Track & Field,Athletics Women's 400 metres Hurdles,,Russia
11471,Madina Ulfatovna Biktagirova,F,35.0,Russia,2000 Summer,2000,Summer,Sydney,Track & Field,Athletics Women's Marathon,,Russia
