Event,Medal Awards
Athletics Women's 4 x 400 metres Relay,45
Athletics Men's 4 x 100 metres Relay,28
Athletics Women's 4 x 100 metres Relay,28
Athletics Men's Hammer Throw,19
Athletics Women's Long Jump,16
Athletics Women's Shot Put,16
Athletics Men's Triple Jump,15
Athletics Women's Discus Throw,13
Athletics Men's High Jump,12
Athletics Men's 20 kilometres Walk,12
Athletics Women's High Jump,11
Athletics Women's 800 metres,10
Athletics Women's Javelin Throw,10
Athletics Men's 50 kilometres Walk,10
"Athletics Women's 1,500 metres",9
Athletics Men's Pole Vault,9
Athletics Men's Javelin Throw,9
Athletics Men's Decathlon,8
Athletics Men's Shot Put,6
Athletics Women's Pentathlon,5
Athletics Women's Pole Vault,5
Athletics Men's 4 x 400 metres Relay,5
Athletics Women's 400 metres,5
Athletics Women's Heptathlon,4
"Athletics Men's 3,000 metres Steeplechase",4
Athletics Women's 20 kilometres Walk,4
Athletics Women's Triple Jump,4
Athletics Men's Long Jump,3
"Athletics Women's 3,000 metres",3
Athletics Women's Hammer Throw,3
"Athletics Women's 3,000 metres Steeplechase",3
"Athletics Men's 10,000 metres",3
Athletics Men's 400 metres Hurdles,3
Athletics Men's 800 metres,3
Athletics Women's 100 metres Hurdles,3
Athletics Women's 400 metres Hurdles,3
Athletics Women's Marathon,3
Athletics Men's 110 metres Hurdles,2
Athletics Men's 400 metres,2
Athletics Women's 80 metres Hurdles,2
Athletics Women's 200 metres,2
Athletics Women's 100 metres,2
Athletics Men's 100 metres,2
Athletics Women's 10 kilometres Walk,2
"Athletics Women's 10,000 metres",2
Athletics Men's Discus Throw,2
Athletics Men's 10 kilometres Walk,1
"Athletics Men's 5,000 metres",1
Athletics Men's Marathon,1
Athletics Men's 200 metres,1
