ID,Name,Sex,Age,Team,Games,Year,Season,City,Sport,Event,Medal,region
34,Jamale (Djamel-) Aarrass (Ahrass-),M,30.0,France,2012 Summer,2012,Summer,London,Track & Field,"Athletics Men's 1,500 metres",,France
52,Patrick Abada,M,22.0,France,1976 Summer,1976,Summer,Montreal,Track & Field,Athletics Men's Pole Vault,,France
167,Ould Lamine Abdallah,M,,France,1952 Summer,1952,Summer,Helsinki,Track & Field,"Athletics Men's 10,000 metres",,France
237,Ben Ahmed Abdelkrim,M,20.0,France,1952 Summer,1952,Summer,Helsinki,Track & Field,"Athletics Men's 5,000 metres",,France
628,Jacques Accambray,M,22.0,France,1972 Summer,1972,Summer,Munich,Track & Field,Athletics Men's Hammer Throw,,France
628,Jacques Accambray,M,26.0,France,1976 Summer,1976,Summer,Montreal,Track & Field,Athletics Men's Hammer Throw,,France
878,Hamida Addche,M,28.0,France,1960 Summer,1960,Summer,Roma,Track & Field,"Athletics Men's 10,000 metres",,France
909,Andr Adelheim,M,22.0,France,1928 Summer,1928,Summer,Amsterdam,Track & Field,Athletics Men's 400 metres Hurdles,,France
909,Andr Adelheim,M,26.0,France,1932 Summer,1932,Summer,Los Angeles,Track & Field,Athletics Men's 400 metres Hurdles,,France
1135,Francis Agbo,M,22.0,France,1980 Summer,1980,Summer,Moskva,Track & Field,Athletics Men's High Jump,,France
1513,Nicolas Assat,M,24.0,France,2004 Summer,2004,Summer,Athina,Track & Field,Athletics Men's 800 metres,,France
1575,Stella Akakpo,F,22.0,France,2016 Summer,2016,Summer,Rio de Janeiro,Track & Field,Athletics Women's 4 x 100 metres Relay,,France
2268,Pierre Alard,M,19.0,France,1956 Summer,1956,Summer,Melbourne,Track & Field,Athletics Men's Discus Throw,,France
2268,Pierre Alard,M,22.0,France,1960 Summer,1960,Summer,Roma,Track & Field,Athletics Men's Discus Throw,,France
2283,Michle Alayrangues (-Halter),F,21.0,France,1968 Summer,1968,Summer,Mexico City,Track & Field,Athletics Women's 4 x 100 metres Relay,,France
2354,Louis-Henri Albinet,M,25.0,France,1924 Summer,1924,Summer,Paris,Track & Field,Athletics Men's Long Jump,,France
2542,David Alerte,M,19.0,France,2004 Summer,2004,Summer,Athina,Track & Field,Athletics Men's 4 x 100 metres Relay,,France
2554,Jacques Aletti,M,21.0,France,1976 Summer,1976,Summer,Montreal,Track & Field,Athletics Men's High Jump,,France
2715,mile Ali Khan,M,17.0,France,1920 Summer,1920,Summer,Antwerpen,Track & Field,Athletics Men's 100 metres,,France
2715,mile Ali Khan,M,17.0,France,1920 Summer,1920,Summer,Antwerpen,Track & Field,Athletics Men's 4 x 100 metres Relay,Silver,France
2816,Gilbert Raoul Allart,M,21.0,France,1924 Summer,1924,Summer,Paris,Track & Field,Athletics Men's 110 metres Hurdles,,France
3256,Charles Alzieu,M,23.0,France,1928 Summer,1928,Summer,Amsterdam,Track & Field,Athletics Men's Long Jump,,France
3417,Hamoud Ameur,M,28.0,France,1960 Summer,1960,Summer,Roma,Track & Field,"Athletics Men's 5,000 metres",,France
3417,Hamoud Ameur,M,28.0,France,1960 Summer,1960,Summer,Roma,Track & Field,"Athletics Men's 10,000 metres",,France
3475,Caroline Ammel (-Burger),F,26.0,France,2000 Summer,2000,Summer,Sydney,Track & Field,Athletics Women's Pole Vault,,France
3517,Jean-Claude Amoureux,M,20.0,France,1976 Summer,1976,Summer,Montreal,Track & Field,Athletics Men's 100 metres,,France
3517,Jean-Claude Amoureux,M,20.0,France,1976 Summer,1976,Summer,Montreal,Track & Field,Athletics Men's 4 x 100 metres Relay,,France
3616,Phara Anacharsis,F,24.0,France,2008 Summer,2008,Summer,Beijing,Track & Field,Athletics Women's 4 x 400 metres Relay,,France
3616,Phara Anacharsis,F,28.0,France,2012 Summer,2012,Summer,London,Track & Field,Athletics Women's 4 x 400 metres Relay,,France
3616,Phara Anacharsis,F,32.0,France,2016 Summer,2016,Summer,Rio de Janeiro,Track & Field,Athletics Women's 400 metres Hurdles,,France
3616,Phara Anacharsis,F,32.0,France,2016 Summer,2016,Summer,Rio de Janeiro,Track & Field,Athletics Women's 4 x 400 metres Relay,,France
4008,Alain Andji,M,21.0,France,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Men's Pole Vault,,France
