Event,Medal Awards
Athletics Men's 4 x 100 metres Relay,24
Athletics Men's 4 x 400 metres Relay,16
Athletics Men's Pole Vault,6
"Athletics Men's Cross-Country, Team",6
"Athletics Men's 3 mile, Team",5
"Athletics Men's 3,000 metres Steeplechase",5
"Athletics Men's 5,000 metres, Team",5
"Athletics Men's 1,500 metres",5
Athletics Women's 4 x 100 metres Relay,4
Athletics Men's Marathon,4
Athletics Men's 110 metres Hurdles,3
Athletics Men's High Jump,3
Athletics Women's 400 metres,3
"Athletics Men's 10,000 metres",3
"Athletics Men's 5,000 metres",3
Athletics Women's Discus Throw,3
Athletics Women's 100 metres Hurdles,2
Athletics Men's 200 metres,2
Athletics Men's 400 metres Hurdles,2
Athletics Men's Decathlon,2
"Athletics Men's 2,500 metres Steeplechase",1
Athletics Women's 800 metres,1
Athletics Men's Triple Jump,1
Athletics Women's Shot Put,1
"Athletics Men's 4 mile, Team",1
Athletics Men's Standing Long Jump,1
Athletics Women's 200 metres,1
Athletics Women's High Jump,1
Athletics Men's Discus Throw,1
Athletics Men's 800 metres,1
