Event,Medal Awards
Athletics Women's 4 x 100 metres Relay,36
Athletics Men's 4 x 400 metres Relay,34
Athletics Women's 4 x 400 metres Relay,31
Athletics Men's 4 x 100 metres Relay,28
Athletics Women's Javelin Throw,17
Athletics Women's Shot Put,15
Athletics Men's Decathlon,11
Athletics Men's Discus Throw,11
Athletics Women's Discus Throw,10
Athletics Women's 100 metres,9
Athletics Women's 200 metres,8
Athletics Men's Shot Put,8
Athletics Men's Pole Vault,8
Athletics Men's Hammer Throw,7
Athletics Women's Long Jump,7
Athletics Men's 20 kilometres Walk,7
"Athletics Men's 5,000 metres",7
Athletics Women's 400 metres,7
Athletics Women's 800 metres,7
Athletics Men's Long Jump,6
Athletics Men's High Jump,6
Athletics Women's High Jump,6
"Athletics Men's 1,500 metres",6
Athletics Women's Pentathlon,6
Athletics Men's 50 kilometres Walk,6
Athletics Women's 100 metres Hurdles,6
Athletics Men's Javelin Throw,5
Athletics Men's 400 metres,5
Athletics Women's 80 metres Hurdles,5
Athletics Women's Heptathlon,5
"Athletics Men's 1,600 metres Medley Relay",4
"Athletics Women's 1,500 metres",4
Athletics Men's 100 metres,4
Athletics Men's 800 metres,4
Athletics Men's Marathon,3
Athletics Men's 400 metres Hurdles,3
Athletics Men's 110 metres Hurdles,3
Athletics Women's Hammer Throw,2
"Athletics Men's 3,000 metres Steeplechase",2
Athletics Men's 200 metres,1
"Athletics Men's 3,000 metres Walk",1
Athletics Women's Marathon,1
Athletics Men's Triple Jump,1
"Athletics Men's 10,000 metres",1
Athletics Women's 400 metres Hurdles,1
