Age,Event,Year,Games,region,Medal
19.0,Athletics Men's 4 x 400 metres Relay,1932,1932 Summer,USA,Gold
22.0,Athletics Men's Standing High Jump,1912,1912 Summer,USA,Silver
22.0,Athletics Men's Standing Long Jump,1912,1912 Summer,USA,Bronze
27.0,Athletics Men's Standing High Jump,1912,1912 Summer,USA,Gold
27.0,Athletics Men's Standing Long Jump,1912,1912 Summer,USA,Silver
26.0,Athletics Men's 400 metres Hurdles,1996,1996 Summer,USA,Gold
22.0,Athletics Women's 4 x 100 metres Relay,2016,2016 Summer,USA,Gold
23.0,Athletics Men's High Jump,1936,1936 Summer,USA,Silver
22.0,Athletics Men's 4 x 400 metres Relay,1928,1928 Summer,USA,Gold
27.0,Athletics Women's 100 metres Hurdles,2016,2016 Summer,USA,Silver
22.0,Athletics Women's 4 x 400 metres Relay,2000,2000 Summer,USA,Gold
25.0,Athletics Men's Discus Throw,1932,1932 Summer,USA,Gold
22.0,Athletics Men's 110 metres Hurdles,1928,1928 Summer,USA,Silver
24.0,Athletics Men's 4 x 400 metres Relay,1984,1984 Summer,USA,Gold
20.0,Athletics Men's 110 metres Hurdles,1904,1904 Summer,USA,Bronze
29.0,"Athletics Men's 3,000 metres Steeplechase",1952,1952 Summer,USA,Gold
27.0,Athletics Women's 100 metres,1984,1984 Summer,USA,Gold
27.0,Athletics Women's 4 x 100 metres Relay,1984,1984 Summer,USA,Gold
31.0,Athletics Women's 100 metres,1988,1988 Summer,USA,Silver
31.0,Athletics Women's 4 x 100 metres Relay,1988,1988 Summer,USA,Gold
35.0,Athletics Women's 4 x 100 metres Relay,1992,1992 Summer,USA,Gold
22.0,Athletics Men's 4 x 100 metres Relay,1964,1964 Summer,USA,Gold
28.0,Athletics Men's High Jump,1996,1996 Summer,USA,Gold
21.0,Athletics Men's Pole Vault,1912,1912 Summer,USA,Gold
22.0,Athletics Men's 400 metres,1984,1984 Summer,USA,Gold
22.0,Athletics Men's 4 x 400 metres Relay,1984,1984 Summer,USA,Gold
23.0,Athletics Men's Discus Throw,1960,1960 Summer,USA,Silver
23.0,Athletics Men's 400 metres Hurdles,1908,1908 Summer,USA,Gold
17.0,Athletics Women's 4 x 100 metres Relay,1968,1968 Summer,USA,Gold
21.0,Athletics Men's 4 x 400 metres Relay,1928,1928 Summer,USA,Gold
24.0,Athletics Women's 4 x 400 metres Relay,2012,2012 Summer,USA,Gold
20.0,Athletics Men's 200 metres,1952,1952 Summer,USA,Silver
25.0,Athletics Men's 100 metres,1956,1956 Summer,USA,Silver
25.0,Athletics Men's 200 metres,1956,1956 Summer,USA,Bronze
25.0,Athletics Men's 4 x 100 metres Relay,1956,1956 Summer,USA,Gold
22.0,Athletics Men's 200 metres,1984,1984 Summer,USA,Silver
22.0,Athletics Men's 400 metres,1928,1928 Summer,USA,Gold
22.0,Athletics Men's 4 x 400 metres Relay,1928,1928 Summer,USA,Gold
23.0,Athletics Men's 110 metres Hurdles,1952,1952 Summer,USA,Bronze
17.0,Athletics Men's Pole Vault,1924,1924 Summer,USA,Gold
22.0,Athletics Men's Shot Put,1988,1988 Summer,USA,Silver
30.0,Athletics Men's Shot Put,1996,1996 Summer,USA,Gold
21.0,Athletics Women's High Jump,2012,2012 Summer,USA,Silver
29.0,"Athletics Women's 1,500 metres",2016,2016 Summer,USA,Bronze
25.0,Athletics Men's 110 metres Hurdles,1920,1920 Summer,USA,Silver
23.0,Athletics Men's Long Jump,1928,1928 Summer,USA,Bronze
22.0,Athletics Men's 200 metres,1992,1992 Summer,USA,Bronze
27.0,Athletics Women's 400 metres Hurdles,1996,1996 Summer,USA,Silver
26.0,Athletics Men's Decathlon,1932,1932 Summer,USA,Gold
24.0,Athletics Men's High Jump,1900,1900 Summer,USA,Gold
24.0,Athletics Men's Standing High Jump,1900,1900 Summer,USA,Silver
24.0,Athletics Men's Pole Vault,1900,1900 Summer,USA,Gold
24.0,Athletics Men's Standing Long Jump,1900,1900 Summer,USA,Silver
24.0,Athletics Men's Standing Triple Jump,1900,1900 Summer,USA,Silver
22.0,Athletics Men's Long Jump,1968,1968 Summer,USA,Gold
24.0,Athletics Men's 110 metres Hurdles,1932,1932 Summer,USA,Silver
28.0,Athletics Men's Pole Vault,1984,1984 Summer,USA,Bronze
26.0,Athletics Men's Long Jump,1956,1956 Summer,USA,Gold
25.0,Athletics Men's Hammer Throw,1920,1920 Summer,USA,Bronze
28.0,Athletics Men's Hammer Throw,1948,1948 Summer,USA,Bronze
26.0,Athletics Men's Long Jump,1956,1956 Summer,USA,Silver
27.0,Athletics Women's Marathon,1984,1984 Summer,USA,Gold
20.0,"Athletics Men's 3,000 metres, Team",1912,1912 Summer,USA,Gold
24.0,Athletics Men's Long Jump,1952,1952 Summer,USA,Gold
26.0,Athletics Men's Standing Long Jump,1904,1904 Summer,USA,Bronze
30.0,Athletics Men's Standing High Jump,1908,1908 Summer,USA,Silver
23.0,Athletics Men's Hammer Throw,1928,1928 Summer,USA,Bronze
21.0,Athletics Men's 200 metres,1972,1972 Summer,USA,Silver
21.0,Athletics Men's 4 x 100 metres Relay,1972,1972 Summer,USA,Gold
24.0,"Athletics Men's 1,500 metres",1896,1896 Summer,USA,Silver
21.0,Athletics Women's 4 x 100 metres Relay,1936,1936 Summer,USA,Gold
24.0,Athletics Women's 4 x 100 metres Relay,1984,1984 Summer,USA,Gold
24.0,"Athletics Men's 1,500 metres Walk",1906,1906 Summer,USA,Gold
26.0,"Athletics Men's 3 mile, Team",1908,1908 Summer,USA,Silver
30.0,"Athletics Men's 3,000 metres, Team",1912,1912 Summer,USA,Gold
25.0,"Athletics Men's Cross-Country, Team",1924,1924 Summer,USA,Silver
22.0,Athletics Men's 4 x 100 metres Relay,1928,1928 Summer,USA,Gold
21.0,Athletics Men's Long Jump,1960,1960 Summer,USA,Gold
25.0,Athletics Men's Long Jump,1964,1964 Summer,USA,Silver
29.0,Athletics Men's Long Jump,1968,1968 Summer,USA,Bronze
27.0,Athletics Men's 4 x 400 metres Relay,1948,1948 Summer,USA,Gold
25.0,Athletics Women's 100 metres,2016,2016 Summer,USA,Silver
25.0,Athletics Women's 200 metres,2016,2016 Summer,USA,Bronze
25.0,Athletics Women's 4 x 100 metres Relay,2016,2016 Summer,USA,Gold
22.0,Athletics Men's Pentathlon,1920,1920 Summer,USA,Silver
25.0,Athletics Men's Pole Vault,1960,1960 Summer,USA,Gold
24.0,"Athletics Men's 1,500 metres",1900,1900 Summer,USA,Bronze
20.0,Athletics Men's 800 metres,1904,1904 Summer,USA,Bronze
26.0,Athletics Men's 400 metres,2004,2004 Summer,USA,Bronze
26.0,Athletics Men's 4 x 400 metres Relay,2004,2004 Summer,USA,Gold
24.0,Athletics Women's 200 metres,1984,1984 Summer,USA,Gold
24.0,Athletics Women's 400 metres,1984,1984 Summer,USA,Gold
24.0,Athletics Women's 4 x 400 metres Relay,1984,1984 Summer,USA,Gold
28.0,Athletics Women's 4 x 400 metres Relay,1988,1988 Summer,USA,Silver
