ID,Name,Sex,Age,Team,Games,Year,Season,City,Sport,Event,Medal,region
519,Harold Maurice Abrahams,M,20.0,Great Britain,1920 Summer,1920,Summer,Antwerpen,Track & Field,Athletics Men's 100 metres,,UK
519,Harold Maurice Abrahams,M,20.0,Great Britain,1920 Summer,1920,Summer,Antwerpen,Track & Field,Athletics Men's 200 metres,,UK
519,Harold Maurice Abrahams,M,20.0,Great Britain,1920 Summer,1920,Summer,Antwerpen,Track & Field,Athletics Men's 4 x 100 metres Relay,,UK
519,Harold Maurice Abrahams,M,20.0,Great Britain,1920 Summer,1920,Summer,Antwerpen,Track & Field,Athletics Men's Long Jump,,UK
519,Harold Maurice Abrahams,M,24.0,Great Britain,1924 Summer,1924,Summer,Paris,Track & Field,Athletics Men's 100 metres,Gold,UK
519,Harold Maurice Abrahams,M,24.0,Great Britain,1924 Summer,1924,Summer,Paris,Track & Field,Athletics Men's 200 metres,,UK
519,Harold Maurice Abrahams,M,24.0,Great Britain,1924 Summer,1924,Summer,Paris,Track & Field,Athletics Men's 4 x 100 metres Relay,Silver,UK
520,Sidney Solomon Abrahams,M,21.0,Great Britain,1906 Summer,1906,Summer,Athina,Track & Field,Athletics Men's 100 metres,,UK
520,Sidney Solomon Abrahams,M,21.0,Great Britain,1906 Summer,1906,Summer,Athina,Track & Field,Athletics Men's Long Jump,,UK
520,Sidney Solomon Abrahams,M,27.0,Great Britain,1912 Summer,1912,Summer,Stockholm,Track & Field,Athletics Men's Long Jump,,UK
675,"Onochie Lawrence ""Larry"" Achike",M,25.0,Great Britain,2000 Summer,2000,Summer,Sydney,Track & Field,Athletics Men's Triple Jump,,UK
675,"Onochie Lawrence ""Larry"" Achike",M,33.0,Great Britain,2008 Summer,2008,Summer,Beijing,Track & Field,Athletics Men's Triple Jump,,UK
770,Marcus Adam,M,24.0,Great Britain,1992 Summer,1992,Summer,Barcelona,Track & Field,Athletics Men's 100 metres,,UK
770,Marcus Adam,M,24.0,Great Britain,1992 Summer,1992,Summer,Barcelona,Track & Field,Athletics Men's 200 metres,,UK
770,Marcus Adam,M,24.0,Great Britain,1992 Summer,1992,Summer,Barcelona,Track & Field,Athletics Men's 4 x 100 metres Relay,,UK
809,Brian Adams,M,27.0,Great Britain,1976 Summer,1976,Summer,Montreal,Track & Field,Athletics Men's 20 kilometres Walk,,UK
870,"William Arthur ""Bill"" Adcocks",M,26.0,Great Britain,1968 Summer,1968,Summer,Mexico City,Track & Field,Athletics Men's Marathon,,UK
895,Adegboyega Folaranmi Adedoyin,M,25.0,Great Britain,1948 Summer,1948,Summer,London,Track & Field,Athletics Men's High Jump,,UK
895,Adegboyega Folaranmi Adedoyin,M,25.0,Great Britain,1948 Summer,1948,Summer,London,Track & Field,Athletics Men's Long Jump,,UK
927,Margaret Adetutu Adeoye,F,27.0,Great Britain,2012 Summer,2012,Summer,London,Track & Field,Athletics Women's 200 metres,,UK
1309,Francis Keita Agyepong,M,27.0,Great Britain,1992 Summer,1992,Summer,Barcelona,Track & Field,Athletics Men's Triple Jump,,UK
1309,Francis Keita Agyepong,M,31.0,Great Britain,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Men's Triple Jump,,UK
1310,"Jacqueline Nana A. D. ""Jackie"" Agyepong",F,23.0,Great Britain,1992 Summer,1992,Summer,Barcelona,Track & Field,Athletics Women's 100 metres Hurdles,,UK
1310,"Jacqueline Nana A. D. ""Jackie"" Agyepong",F,27.0,Great Britain,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Women's 100 metres Hurdles,,UK
1323,"Timothy Joseph ""Tim"" Ahearne",M,22.0,Great Britain,1908 Summer,1908,Summer,London,Track & Field,Athletics Men's 110 metres Hurdles,,UK
1323,"Timothy Joseph ""Tim"" Ahearne",M,22.0,Great Britain,1908 Summer,1908,Summer,London,Track & Field,Athletics Men's Long Jump,,UK
1323,"Timothy Joseph ""Tim"" Ahearne",M,22.0,Great Britain,1908 Summer,1908,Summer,London,Track & Field,Athletics Men's Standing Long Jump,,UK
1323,"Timothy Joseph ""Tim"" Ahearne",M,22.0,Great Britain,1908 Summer,1908,Summer,London,Track & Field,Athletics Men's Triple Jump,Gold,UK
1488,Harry Leslie Aikines-Aryeetey,M,27.0,Great Britain,2016 Summer,2016,Summer,Rio de Janeiro,Track & Field,Athletics Men's 4 x 100 metres Relay,,UK
1503,John Creyghton Ainsworth-Davis,M,25.0,Great Britain,1920 Summer,1920,Summer,Antwerpen,Track & Field,Athletics Men's 400 metres,,UK
1503,John Creyghton Ainsworth-Davis,M,25.0,Great Britain,1920 Summer,1920,Summer,Antwerpen,Track & Field,Athletics Men's 4 x 400 metres Relay,Gold,UK
1569,Kriss Kezie Uche Chukwu Duru Akabusi,M,25.0,Great Britain,1984 Summer,1984,Summer,Los Angeles,Track & Field,Athletics Men's 400 metres,,UK
1569,Kriss Kezie Uche Chukwu Duru Akabusi,M,25.0,Great Britain,1984 Summer,1984,Summer,Los Angeles,Track & Field,Athletics Men's 4 x 400 metres Relay,Silver,UK
1569,Kriss Kezie Uche Chukwu Duru Akabusi,M,29.0,Great Britain,1988 Summer,1988,Summer,Seoul,Track & Field,Athletics Men's 400 metres Hurdles,,UK
1569,Kriss Kezie Uche Chukwu Duru Akabusi,M,29.0,Great Britain,1988 Summer,1988,Summer,Seoul,Track & Field,Athletics Men's 4 x 400 metres Relay,,UK
1569,Kriss Kezie Uche Chukwu Duru Akabusi,M,33.0,Great Britain,1992 Summer,1992,Summer,Barcelona,Track & Field,Athletics Men's 400 metres Hurdles,Bronze,UK
1569,Kriss Kezie Uche Chukwu Duru Akabusi,M,33.0,Great Britain,1992 Summer,1992,Summer,Barcelona,Track & Field,Athletics Men's 4 x 400 metres Relay,Bronze,UK
2425,Yamil Aldama Pozo (-Dodds),F,39.0,Great Britain,2012 Summer,2012,Summer,London,Track & Field,Athletics Women's Triple Jump,,UK
2438,"James Noel Carroll ""Jim"" Alder",M,28.0,Great Britain,1968 Summer,1968,Summer,Mexico City,Track & Field,Athletics Men's Marathon,,UK
2789,Diane Allahgreen (-Hawkins),F,25.0,Great Britain,2000 Summer,2000,Summer,Sydney,Track & Field,Athletics Women's 100 metres Hurdles,,UK
2821,Peter Charles Allday,M,25.0,Great Britain,1952 Summer,1952,Summer,Helsinki,Track & Field,Athletics Men's Hammer Throw,,UK
2821,Peter Charles Allday,M,29.0,Great Britain,1956 Summer,1956,Summer,Melbourne,Track & Field,Athletics Men's Hammer Throw,,UK
2852,Lawrence Allen,M,31.0,Great Britain,1952 Summer,1952,Summer,Helsinki,Track & Field,Athletics Men's 10 kilometres Walk,,UK
3075,"Frederick John ""Fred"" Alsop",M,21.0,Great Britain,1960 Summer,1960,Summer,Roma,Track & Field,Athletics Men's Long Jump,,UK
3075,"Frederick John ""Fred"" Alsop",M,21.0,Great Britain,1960 Summer,1960,Summer,Roma,Track & Field,Athletics Men's Triple Jump,,UK
3075,"Frederick John ""Fred"" Alsop",M,25.0,Great Britain,1964 Summer,1964,Summer,Tokyo,Track & Field,Athletics Men's Long Jump,,UK
3075,"Frederick John ""Fred"" Alsop",M,25.0,Great Britain,1964 Summer,1964,Summer,Tokyo,Track & Field,Athletics Men's Triple Jump,,UK
3075,"Frederick John ""Fred"" Alsop",M,29.0,Great Britain,1968 Summer,1968,Summer,Mexico City,Track & Field,Athletics Men's Triple Jump,,UK
3794,Arthur Emilius David Anderson,M,25.0,Great Britain,1912 Summer,1912,Summer,Stockholm,Track & Field,Athletics Men's 100 metres,,UK
3794,Arthur Emilius David Anderson,M,25.0,Great Britain,1912 Summer,1912,Summer,Stockholm,Track & Field,Athletics Men's 200 metres,,UK
3840,"Gerard Rupert Lawrence ""Laurie"" Anderson",M,23.0,Great Britain,1912 Summer,1912,Summer,Stockholm,Track & Field,Athletics Men's 110 metres Hurdles,,UK
3861,Shani Anderson,F,25.0,Great Britain,2000 Summer,2000,Summer,Sydney,Track & Field,Athletics Women's 100 metres,,UK
3861,Shani Anderson,F,25.0,Great Britain,2000 Summer,2000,Summer,Sydney,Track & Field,Athletics Women's 4 x 100 metres Relay,,UK
3863,"Timothy Donald ""Tim"" Anderson",M,26.0,Great Britain,1952 Summer,1952,Summer,Helsinki,Track & Field,Athletics Men's Pole Vault,,UK
3873,William Davidson Anderson,M,,Great Britain,1906 Summer,1906,Summer,Athina,Track & Field,Athletics Men's 400 metres,,UK
3873,William Davidson Anderson,M,,Great Britain,1906 Summer,1906,Summer,Athina,Track & Field,Athletics Men's 800 metres,,UK
4155,"Jessica ""Jess"" Andrews (-Martin)",F,23.0,Great Britain,2016 Summer,2016,Summer,Rio de Janeiro,Track & Field,"Athletics Women's 10,000 metres",,UK
4358,Keith Angus,M,33.0,Great Britain,1976 Summer,1976,Summer,Montreal,Track & Field,Athletics Men's Marathon,,UK
4365,Emma Iwebunor Ania,F,28.0,Great Britain,2008 Summer,2008,Summer,Beijing,Track & Field,Athletics Women's 4 x 100 metres Relay,,UK
4507,"Donald William James ""Don"" Anthony",M,28.0,Great Britain,1956 Summer,1956,Summer,Melbourne,Track & Field,Athletics Men's Hammer Throw,,UK
4734,"Frederick ""Fred"" Appleby",M,29.0,Great Britain,1908 Summer,1908,Summer,London,Track & Field,Athletics Men's Marathon,,UK
4736,"William Reuben ""Willie"" Applegarth",M,21.0,Great Britain,1912 Summer,1912,Summer,Stockholm,Track & Field,Athletics Men's 100 metres,,UK
4736,"William Reuben ""Willie"" Applegarth",M,21.0,Great Britain,1912 Summer,1912,Summer,Stockholm,Track & Field,Athletics Men's 200 metres,Bronze,UK
4736,"William Reuben ""Willie"" Applegarth",M,21.0,Great Britain,1912 Summer,1912,Summer,Stockholm,Track & Field,Athletics Men's 4 x 100 metres Relay,Gold,UK
4919,"John ""Jack"" Archer",M,26.0,Great Britain,1948 Summer,1948,Summer,London,Track & Field,Athletics Men's 4 x 100 metres Relay,Silver,UK
4951,Daphne Arden (-Slater),F,22.0,Great Britain,1964 Summer,1964,Summer,Tokyo,Track & Field,Athletics Women's 100 metres,,UK
4951,Daphne Arden (-Slater),F,22.0,Great Britain,1964 Summer,1964,Summer,Tokyo,Track & Field,Athletics Women's 200 metres,,UK
