Event,Medal Awards
Athletics Men's 4 x 400 metres Relay,52
Athletics Women's 4 x 100 metres Relay,32
Athletics Men's 4 x 100 metres Relay,29
"Athletics Men's 3,000 metres, Team",17
"Athletics Men's 1,500 metres",14
Athletics Women's 4 x 400 metres Relay,13
"Athletics Men's Cross-Country, Team",11
Athletics Men's 800 metres,10
Athletics Men's 400 metres,8
Athletics Men's 400 metres Hurdles,8
Athletics Men's 100 metres,8
Athletics Men's Triple Jump,7
Athletics Women's 400 metres,6
Athletics Men's High Jump,6
"Athletics Men's 3,000 metres Steeplechase",6
"Athletics Men's 5,000 metres",6
Athletics Men's 200 metres,6
Athletics Men's 50 kilometres Walk,5
Athletics Women's High Jump,5
Athletics Men's Marathon,5
"Athletics Men's 3 mile, Team",5
"Athletics Men's 10,000 metres",5
Athletics Women's Heptathlon,5
Athletics Men's Long Jump,5
Athletics Men's 110 metres Hurdles,5
Athletics Men's Javelin Throw,4
Athletics Women's Long Jump,4
"Athletics Men's 5,000 metres, Team",4
Athletics Men's 5 mile,3
Athletics Men's 10 mile Walk,3
Athletics Women's Javelin Throw,3
Athletics Men's 10 kilometres Walk,3
Athletics Women's 800 metres,3
"Athletics Men's 4,000 metres Steeplechase",3
Athletics Women's Pentathlon,2
"Athletics Women's 3,000 metres",2
"Athletics Men's 3,500 metres Walk",2
Athletics Women's 400 metres Hurdles,2
Athletics Women's 200 metres,2
Athletics Men's Decathlon,2
Athletics Women's 80 metres Hurdles,2
Athletics Men's 20 kilometres Walk,2
Athletics Women's 100 metres,2
"Athletics Men's 3,200 metres Steeplechase",2
Athletics Men's Hammer Throw,1
"Athletics Men's 2,590 metres Steeplechase",1
Athletics Men's All-Around Championship,1
"Athletics Women's 1,500 metres",1
Athletics Women's 100 metres Hurdles,1
"Athletics Women's 10,000 metres",1
Athletics Men's Shot Put,1
"Athletics Men's 2,500 metres Steeplechase",1
Athletics Women's Hammer Throw,1
