Event,Medal Awards
Athletics Men's 4 x 400 metres Relay,94
Athletics Men's 4 x 100 metres Relay,73
Athletics Women's 4 x 100 metres Relay,66
Athletics Women's 4 x 400 metres Relay,58
Athletics Men's 110 metres Hurdles,57
Athletics Men's Shot Put,51
Athletics Men's Long Jump,49
Athletics Men's 200 metres,46
Athletics Men's Pole Vault,46
Athletics Men's 400 metres,45
Athletics Men's 400 metres Hurdles,41
Athletics Men's 100 metres,41
Athletics Men's High Jump,36
Athletics Men's Discus Throw,36
Athletics Men's Decathlon,27
Athletics Men's 800 metres,23
Athletics Men's Hammer Throw,19
Athletics Men's Triple Jump,19
Athletics Women's 100 metres,18
"Athletics Men's 3,000 metres, Team",16
"Athletics Men's 1,500 metres",15
Athletics Men's Standing High Jump,13
Athletics Women's 200 metres,12
Athletics Women's 100 metres Hurdles,12
Athletics Men's Standing Long Jump,12
Athletics Men's Marathon,11
Athletics Women's Long Jump,9
Athletics Women's 400 metres Hurdles,9
"Athletics Men's 4 mile, Team",9
Athletics Women's High Jump,8
Athletics Women's 400 metres,7
"Athletics Men's 3,000 metres Steeplechase",6
Athletics Men's Standing Triple Jump,6
"Athletics Men's Cross-Country, Team",6
"Athletics Men's 3 mile, Team",5
Athletics Men's Javelin Throw,5
Athletics Women's Discus Throw,5
Athletics Men's 60 metres,5
Athletics Men's 200 metres Hurdles,5
Athletics Men's 56-pound Weight Throw,4
Athletics Women's Heptathlon,4
Athletics Men's Pentathlon,4
"Athletics Men's 1,600 metres Medley Relay",4
"Athletics Men's 5,000 metres",4
Athletics Women's Pole Vault,4
"Athletics Men's 10,000 metres",3
Athletics Women's Javelin Throw,3
Athletics Women's 800 metres,3
Athletics Women's Marathon,2
Athletics Men's All-Around Championship,2
"Athletics Men's Shot Put, Both Hands",2
Athletics Men's 50 kilometres Walk,2
"Athletics Men's Discus Throw, Greek Style",2
Athletics Women's 80 metres Hurdles,2
"Athletics Women's 10,000 metres",2
Athletics Women's Shot Put,2
"Athletics Men's 2,590 metres Steeplechase",2
"Athletics Women's 1,500 metres",1
"Athletics Women's 3,000 metres Steeplechase",1
"Athletics Men's 3,200 metres Steeplechase",1
"Athletics Men's 1,500 metres Walk",1
Athletics Men's Stone Throw,1
"Athletics Men's 3,000 metres Walk",1
Athletics Men's 10 kilometres Walk,1
"Athletics Men's Cross-Country, Individual",1
